time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-29 00:00:00+00:00,0,0,1,1
2024-09-01 00:00:00+00:00,0,0,1,1
2024-09-02 00:00:00+00:00,0,0,2,2
2024-09-04 00:00:00+00:00,0,0,2,2
2024-09-06 00:00:00+00:00,3,3,0,0
2024-09-09 00:00:00+00:00,1,1,0,0
2024-09-10 00:00:00+00:00,0,0,1,1
2024-09-11 00:00:00+00:00,0,0,1,1
2024-09-12 00:00:00+00:00,2,2,5,2
2024-09-13 00:00:00+00:00,0,0,1,1
2024-09-23 00:00:00+00:00,0,0,1,1
2024-09-28 00:00:00+00:00,0,0,1,1
2024-09-30 00:00:00+00:00,0,0,1,1
2024-10-02 00:00:00+00:00,3,3,1,1
2024-10-03 00:00:00+00:00,0,0,1,1
2024-10-04 00:00:00+00:00,0,0,1,1
2024-10-12 00:00:00+00:00,0,0,1,1
2024-10-14 00:00:00+00:00,0,0,1,1
2024-10-15 00:00:00+00:00,0,0,3,3
2024-10-16 00:00:00+00:00,0,0,3,3
2024-10-23 00:00:00+00:00,1,1,0,0
2024-10-24 00:00:00+00:00,0,0,1,1
2024-10-25 00:00:00+00:00,2,2,0,0
2024-10-27 00:00:00+00:00,1,1,1,1
2024-10-31 00:00:00+00:00,0,0,2,2
2024-11-04 00:00:00+00:00,0,0,2,2
2024-11-05 00:00:00+00:00,0,0,1,1
2024-11-06 00:00:00+00:00,0,0,1,1
2024-11-11 00:00:00+00:00,0,0,1,1
2024-11-12 00:00:00+00:00,2,2,1,1
2024-11-14 00:00:00+00:00,0,0,1,1
