time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,0,0,1,1
2024-08-29 00:00:00+00:00,0,0,3,3
2024-08-30 00:00:00+00:00,1,1,13,3
2024-08-31 00:00:00+00:00,0,0,6,2
2024-09-02 00:00:00+00:00,0,0,2,2
2024-09-03 00:00:00+00:00,1,1,2,1
2024-09-04 00:00:00+00:00,0,0,2,2
2024-09-05 00:00:00+00:00,0,0,1,1
2024-09-06 00:00:00+00:00,0,0,11,3
2024-09-07 00:00:00+00:00,0,0,6,2
2024-09-08 00:00:00+00:00,3,3,0,0
2024-09-09 00:00:00+00:00,0,0,12,4
2024-09-10 00:00:00+00:00,2,2,4,2
2024-09-11 00:00:00+00:00,7,7,27,6
2024-09-12 00:00:00+00:00,2,1,1,1
2024-09-13 00:00:00+00:00,3,3,14,5
2024-09-14 00:00:00+00:00,0,0,2,2
2024-09-15 00:00:00+00:00,0,0,12,3
2024-09-16 00:00:00+00:00,0,0,5,3
2024-09-17 00:00:00+00:00,0,0,3,3
2024-09-18 00:00:00+00:00,1,1,3,3
2024-09-19 00:00:00+00:00,0,0,29,10
2024-09-20 00:00:00+00:00,3,3,2,2
2024-09-21 00:00:00+00:00,1,1,1,1
2024-09-22 00:00:00+00:00,1,1,1,1
2024-09-23 00:00:00+00:00,2,2,6,2
2024-09-24 00:00:00+00:00,0,0,27,9
2024-09-25 00:00:00+00:00,1,1,104,15
2024-09-26 00:00:00+00:00,2,2,7,4
2024-09-27 00:00:00+00:00,1,1,6,5
2024-09-29 00:00:00+00:00,0,0,9,3
2024-09-30 00:00:00+00:00,1,1,2,2
2024-10-01 00:00:00+00:00,0,0,5,2
2024-10-03 00:00:00+00:00,1,1,6,3
2024-10-04 00:00:00+00:00,2,2,3,1
2024-10-05 00:00:00+00:00,0,0,1,1
2024-10-06 00:00:00+00:00,0,0,11,4
2024-10-07 00:00:00+00:00,1,1,5,2
2024-10-08 00:00:00+00:00,0,0,11,3
2024-10-09 00:00:00+00:00,3,3,7,7
2024-10-10 00:00:00+00:00,2,2,3,2
2024-10-11 00:00:00+00:00,2,2,18,3
2024-10-12 00:00:00+00:00,0,0,10,4
2024-10-13 00:00:00+00:00,0,0,2,2
2024-10-14 00:00:00+00:00,2,2,17,9
2024-10-15 00:00:00+00:00,1,1,8,6
2024-10-16 00:00:00+00:00,4,4,6,5
2024-10-17 00:00:00+00:00,1,1,9,4
2024-10-18 00:00:00+00:00,1,1,9,5
2024-10-19 00:00:00+00:00,1,1,4,3
2024-10-20 00:00:00+00:00,0,0,2,2
2024-10-21 00:00:00+00:00,1,1,4,3
2024-10-22 00:00:00+00:00,1,1,36,3
2024-10-23 00:00:00+00:00,1,1,15,6
2024-10-24 00:00:00+00:00,0,0,1,1
2024-10-25 00:00:00+00:00,1,1,6,5
2024-10-26 00:00:00+00:00,0,0,1,1
2024-10-27 00:00:00+00:00,1,1,5,4
2024-10-29 00:00:00+00:00,1,1,3,2
